Date,Value
2015-08-08,1.19999000000000
2015-08-09,1.19999000000000
2015-08-10,1.19999000000000
2015-08-11,0.99000000000000
2015-08-12,1.28800000000000
2015-08-13,1.88480000000000
2015-08-14,1.79504416247808
2015-08-15,1.78222244301578
2015-08-16,1.53307377556984
2015-08-17,1.29638000000000
2015-08-18,1.08418656925774
2015-08-19,1.24000000000000
2015-08-20,1.52180000000000
2015-08-21,1.43588000000000
2015-08-22,1.40000000000000
2015-08-23,1.35000000000000
2015-08-24,1.23804000000000
2015-08-25,1.27119000000000
2015-08-26,1.18000000000000
2015-08-27,1.13646000000000
2015-08-28,1.29500000000000
2015-08-29,1.17900000000000
2015-08-30,1.32000000000000
2015-08-31,1.30651000000000
2015-09-01,1.36000000000000
2015-09-02,1.30828087083577
2015-09-03,1.23357000000000
2015-09-04,1.23357000000000
2015-09-05,1.36287107188779
2015-09-06,1.34000000000000
2015-09-07,1.27561000000000
2015-09-08,1.26349378725891
2015-09-09,1.21000000000000
2015-09-10,1.18570000000000
2015-09-11,0.92771570835769
2015-09-12,1.14639000000000
2015-09-13,0.88557000000000
2015-09-14,0.95500000000000
2015-09-15,0.95000000000000
2015-09-16,0.93634000000000
2015-09-17,0.87500000000000
2015-09-18,0.85226000000000
2015-09-19,0.88368947983635
2015-09-20,0.94116000000000
2015-09-21,0.94116000000000
2015-09-22,0.80588000000000
2015-09-23,0.91000000000000
2015-09-24,0.80000000000000
2015-09-25,0.68233000000000
2015-09-26,0.77032000000000
2015-09-27,0.70076990531853
2015-09-28,0.60420806545880
2015-09-29,0.68163000000000
2015-09-30,0.71364431385155
2015-10-01,0.65472255523086
2015-10-02,0.66467000000000
2015-10-03,0.67960000000000
2015-10-04,0.60954000000000
2015-10-05,0.60777000000000
2015-10-06,0.65114000000000
2015-10-07,0.60000000000000
2015-10-08,0.63379884102864
2015-10-09,0.63519084745763
2015-10-10,0.63519084745763
2015-10-11,0.59931000000000
2015-10-12,0.63000000000000
2015-10-13,0.60163934365868
2015-10-14,0.48323630216248
2015-10-15,0.55986198597312
2015-10-16,0.52500000000000
2015-10-17,0.52299000000000
2015-10-18,0.50500000000000
2015-10-19,0.49947972530684
2015-10-20,0.44003471654004
2015-10-21,0.42000000000000
2015-10-22,0.54618351373466
2015-10-23,0.56491000000000
2015-10-24,0.55606000000000
2015-10-25,0.62436485797779
2015-10-26,0.70051954412624
2015-10-27,0.83000000000000
2015-10-28,0.99000000000000
2015-10-29,1.17940672121566
2015-10-30,1.12067336586791
2015-10-31,0.88934257159556
2015-11-01,0.99000000000000
2015-11-02,0.98780000000000
2015-11-03,1.04736265341905
2015-11-04,0.79900000000000
2015-11-05,0.87638000000000
2015-11-06,0.95965283459965
2015-11-07,0.91185019286967
2015-11-08,1.00000000000000
2015-11-09,0.99800000000000
2015-11-10,0.90191466978375
2015-11-11,0.75004734073641
2015-11-12,0.88000000000000
2015-11-13,0.89998421975453
2015-11-14,0.88000000000000
2015-11-15,0.91000000000000
2015-11-16,0.91442723553478
2015-11-17,0.99928462887201
2015-11-18,0.99675360724722
2015-11-19,0.94000000000000
2015-11-20,0.92000000000000
2015-11-21,0.96000000000000
2015-11-22,0.97000000000000
2015-11-23,0.92000000000000
2015-11-24,0.91001478199883
2015-11-25,0.87000000000000
2015-11-26,0.85883271946230
2015-11-27,0.88000000000000
2015-11-28,0.90755778609001
2015-11-29,0.87000000000000
2015-11-30,0.88000000000000
2015-12-01,0.86329339567504
2015-12-02,0.82000000000000
2015-12-03,0.83000000000000
2015-12-04,0.84000000000000
2015-12-05,0.86993000000000
2015-12-06,0.82499000000000
2015-12-07,0.78994398012858
2015-12-08,0.79461000000000
2015-12-09,0.80511000000000
2015-12-10,0.84374000000000
2015-12-11,0.89980010520164
2015-12-12,0.96000000000000
2015-12-13,0.91994000000000
2015-12-14,0.99000000000000
2015-12-15,1.00000000000000
2015-12-16,0.86710000000000
2015-12-17,0.94000000000000
2015-12-18,0.90000000000000
2015-12-19,0.89352094447691
2015-12-20,0.96000000000000
2015-12-21,0.91000000000000
2015-12-22,0.88000000000000
2015-12-23,0.87093000000000
2015-12-24,0.87000000000000
2015-12-25,0.86592490473407
2015-12-26,0.85300000000000
2015-12-27,0.86893000000000
2015-12-28,0.84244593804793
2015-12-29,0.86000000000000
2015-12-30,0.89651551724138
2015-12-31,0.94884000000000
2016-01-01,0.92037000000000
2016-01-02,0.94999000000000
2016-01-03,0.95706292811222
2016-01-04,0.95000000000000
2016-01-05,0.94260000000000
2016-01-06,0.95000000000000
2016-01-07,0.93994748334307
2016-01-08,0.98500000000000
2016-01-09,0.96991004558738
2016-01-10,1.00000000000000
2016-01-11,1.07090673290473
2016-01-12,1.17745000000000
2016-01-13,1.13743000000000
2016-01-14,1.16592069608416
2016-01-15,1.29089104734074
2016-01-16,1.21179000000000
2016-01-17,1.31093687901812
2016-01-18,1.46624418176505
2016-01-19,1.35304659848042
2016-01-20,1.45662153009936
2016-01-21,1.49593000000000
2016-01-22,1.52000000000000
2016-01-23,2.01225053594389
2016-01-24,2.10138478492110
2016-01-25,2.53372158971362
2016-01-26,2.38058670368206
2016-01-27,2.40130981823495
2016-01-28,2.54645331911163
2016-01-29,2.48763545119813
2016-01-30,2.44067000000000
2016-01-31,2.24267177966102
2016-02-01,2.16739736703682
2016-02-02,2.44653000000000
2016-02-03,2.53000000000000
2016-02-04,2.55007000000000
2016-02-05,2.56451000000000
2016-02-06,2.54902000000000
2016-02-07,2.89807110052601
2016-02-08,3.18377219345412
2016-02-09,3.89347676504968
