time,open,high,low,close
2009-10-05,0.00076392,0.00076392,0.00076392,0.00076392
2009-10-06,0.00088454,0.00088454,0.00088454,0.00088454
2009-10-07,0.0010504,0.0010504,0.0010504,0.0010504
2009-10-08,0.00108428,0.00108428,0.00108428,0.00108428
2009-10-09,0.00120045,0.00120045,0.00120045,0.00120045
2009-10-10,0.00112042,0.00112042,0.00112042,0.00112042
2009-10-11,0.00115338,0.00115338,0.00115338,0.00115338
2009-10-12,0.00110205,0.00110205,0.00110205,0.00110205
2009-10-13,0.00112878,0.00112878,0.00112878,0.00112878
2009-10-14,0.00113556,0.00113556,0.00113556,0.00113556
2009-10-15,0.00117006,0.00117006,0.00117006,0.00117006
2009-10-16,0.00124491,0.00124491,0.00124491,0.00124491
2009-10-17,0.00124137,0.00124137,0.00124137,0.00124137
2009-10-18,0.00122546,0.00122546,0.00122546,0.00122546
2009-10-19,0.00124799,0.00124799,0.00124799,0.00124799
2009-10-20,0.00123349,0.00123349,0.00123349,0.00123349
2009-10-21,0.00121062,0.00121062,0.00121062,0.00121062
2009-10-22,0.00121981,0.00121981,0.00121981,0.00121981
2009-10-23,0.00125717,0.00125717,0.00125717,0.00125717
2009-10-24,0.0012732,0.0012732,0.0012732,0.0012732
2009-10-25,0.00128808,0.00128808,0.00128808,0.00128808
2009-10-26,0.00126622,0.00126622,0.00126622,0.00126622
2009-10-27,0.00126322,0.00126322,0.00126322,0.00126322
2009-10-28,0.00128455,0.00128455,0.00128455,0.00128455
2009-10-29,0.00126555,0.00126555,0.00126555,0.00126555
2009-10-30,0.00125563,0.00125563,0.00125563,0.00125563
2009-10-31,0.00124662,0.00124662,0.00124662,0.00124662
2009-11-01,0.00121911,0.00121911,0.00121911,0.00121911
2009-11-02,0.00125614,0.00125614,0.00125614,0.00125614
2009-11-03,0.0012732,0.0012732,0.0012732,0.0012732
2009-11-04,0.00130618,0.00130618,0.00130618,0.00130618
2009-11-05,0.00130618,0.00130618,0.00130618,0.00130618
2009-11-06,0.00128619,0.00128619,0.00128619,0.00128619
2009-11-07,0.00127967,0.00127967,0.00127967,0.00127967
2009-11-08,0.00126048,0.00126048,0.00126048,0.00126048
2009-11-09,0.00126048,0.00126048,0.00126048,0.00126048
2009-11-10,0.00123576,0.00123576,0.00123576,0.00123576
2009-11-11,0.00129946,0.00129946,0.00129946,0.00129946
2009-11-12,0.00134093,0.00134093,0.00134093,0.00134093
2009-11-13,0.00135534,0.00135534,0.00135534,0.00135534
2009-11-14,0.00128619,0.00128619,0.00128619,0.00128619
2009-11-15,0.00123576,0.00123576,0.00123576,0.00123576
2009-11-16,0.00118912,0.00118912,0.00118912,0.00118912
2009-11-17,0.00117801,0.00117801,0.00117801,0.00117801
2009-11-18,0.00110568,0.00110568,0.00110568,0.00110568
2009-11-19,0.00107274,0.00107274,0.00107274,0.00107274
2009-11-20,0.00107733,0.00107733,0.00107733,0.00107733
2009-11-21,0.00106369,0.00106369,0.00106369,0.00106369
2009-11-22,0.00105922,0.00105922,0.00105922,0.00105922
2009-11-23,0.00100038,0.00100038,0.00100038,0.00100038
2009-11-24,0.00092682,0.00092682,0.00092682,0.00092682
2009-11-25,0.00090034,0.00090034,0.00090034,0.00090034
2009-11-26,0.00089713,0.00089713,0.00089713,0.00089713
2009-11-27,0.00086039,0.00086039,0.00086039,0.00086039
2009-11-28,0.0008488,0.0008488,0.0008488,0.0008488
2009-11-29,0.00082926,0.00082926,0.00082926,0.00082926
2009-11-30,0.00082384,0.00082384,0.00082384,0.00082384
2009-12-01,0.0008106,0.0008106,0.0008106,0.0008106
2009-12-02,0.00079525,0.00079525,0.00079525,0.00079525
2009-12-03,0.00077093,0.00077093,0.00077093,0.00077093
2009-12-04,0.00074585,0.00074585,0.00074585,0.00074585
2009-12-05,0.00074806,0.00074806,0.00074806,0.00074806
2009-12-06,0.00073284,0.00073284,0.00073284,0.00073284
2009-12-07,0.00071822,0.00071822,0.00071822,0.00071822
2009-12-08,0.00070027,0.00070027,0.00070027,0.00070027
2009-12-09,0.00068691,0.00068691,0.00068691,0.00068691
2009-12-10,0.00067047,0.00067047,0.00067047,0.00067047
2009-12-11,0.00066516,0.00066516,0.00066516,0.00066516
2009-12-12,0.00063984,0.00063984,0.00063984,0.00063984
